수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-07-22,전체,66,메노킨,[1위 원조 버블팩] 메노킨 30초 퀵 버블 마스크 6종 택1(+팩브러쉬 증정),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000234422,28500,25300,11.2,23663,4.8,88,7,3,1,1,1,0,0,1,A000000234422,ALL
2026-07-22,전체,67,슬립앤슬립,[아이유PICK/전용커버(화이트)+냉감시트 증정] 슬립앤슬립 깊은잠 베개,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=B000000232005,105000,93000,11.4,63,4.7,81,11,6,,2,0,1,0,0,B000000232005,ALL
2026-07-22,전체,68,스킨푸드,[1+1/한정기획] 스킨푸드 캐롯 카로틴 카밍 워터 패드 60매 더블기획 (+PDRN 패드 2매*3),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255585,42000,26200,37.6,102423,4.8,89,8,2,0,1,1,0,0,1,A000000255585,ALL
2026-07-22,전체,69,코링코,[1등 속눈썹/또렷눈매] 코링코 톡톡하라 노글루 속눈썹 15종 택1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000213569,22000,13900,36.8,17976,4.8,84,11,4,1,1,1,1,0,1,A000000213569,ALL
2026-07-22,전체,70,바닐라코,[7월올영픽/1등 파우더] 바닐라코 프라임 프라이머 피니쉬 파우더 12g,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000253093,22000,15400,30.0,44487,4.8,86,10,3,0,0,1,0,1,1,A000000253093,ALL
2026-07-22,전체,71,하우스오브비,[1위마스크팩/300만장판매]하우스오브비 글루타치온 페이스필름 8매,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000239107,80000,54880,31.4,5781,4.9,93,5,2,0,0,1,1,0,1,A000000239107,ALL
2026-07-22,전체,72,메디필,[슈야토야 히퍼/모공쏙폼] 메디필 레드 락토 콜라겐 클리어 폼클렌징 2.0 300ml 한정기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000259619,24000,12810,46.6,16760,4.8,86,10,3,1,1,1,1,0,1,A000000259619,ALL
2026-07-22,전체,73,메디힐,[7월 올영픽/마스코트 파우치 증정] 메디힐 마데카소사이드 수분 선세럼 흔적 리페어 50g +50g 더블기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000259586,34900,22400,35.8,8945,4.9,91,7,2,0,1,1,1,0,1,A000000259586,ALL
2026-07-22,전체,74,닥터지,[7월올영픽/무기자차] 닥터지 그린 마일드 업 선 플러스50ml 기획 (50ml+50ml+10ml) (선크림),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000180162,29000,24800,14.5,25570,4.8,83,13,3,0,0,1,0,0,1,A000000180162,ALL
2026-07-22,전체,75,메디힐,[장도연 PICK] 메디힐 마데카소사이드 흔적 리페어 세럼 40+40ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000211119,36900,22900,37.9,42742,4.7,82,12,4,1,1,1,0,0,1,A000000211119,ALL
2026-07-22,전체,76,오호라,[NEW/글레이즈드 라인 출시] 오호라 시럽 네일강화제 15ml 18colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000251335,18000,15300,15.0,2799,4.7,79,13,6,1,1,1,1,0,1,A000000251335,ALL
2026-07-22,전체,77,아이오페,[글로우 부스팅샷] 아이오페 PDRN 카페인 샷 30ml 리필 기획 (+30ml 리필),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000242341,50000,37500,25.0,2401,4.8,85,11,3,0,0,1,0,1,1,A000000242341,ALL
2026-07-22,전체,78,비비랩,비비랩 데일리 밸런스 유산균 2 g x 30포 (1개월분),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000261086,16900,16900,0.0,0,0.0,,,,,,0,0,1,1,A000000261086,ALL
2026-07-22,전체,79,바이오더마,바이오더마 센시비오 H2O 850ml(클렌징워터),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000130319,37500,25900,30.9,52078,4.9,91,7,1,0,0,1,0,1,1,A000000130319,ALL
2026-07-22,전체,80,셀리맥스,[단독기획/모공탄력] 셀리맥스 더 비타 A 레티날 샷 타이트닝 부스터 15ml 기획(+3ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250199,30000,23100,23.0,2124,4.8,86,10,3,0,1,1,0,0,1,A000000250199,ALL
2026-07-22,전체,81,프로뉴트리션,프로뉴트리션 듀얼플랜 다이어트 유산균 14포,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000205496,39800,35800,10.1,244,4.5,72,9,14,2,2,1,0,0,1,A000000205496,ALL
2026-07-22,전체,82,세포랩,[7월 올영픽/화잘먹부스팅템] 세포랩 바이오제닉 에센스 블렌디드 포뮬라 50% (100ml /30ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250225,46000,31000,32.6,2657,4.9,94,4,1,0,0,1,1,0,1,A000000250225,ALL
2026-07-22,전체,83,비플레인,[말끔모공/ 대용량] 비플레인 녹두 약산성 클렌징폼 160ml 더블 기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000249797,26000,26000,0.0,26871,4.9,90,8,2,0,0,0,0,0,1,A000000249797,ALL
2026-07-22,전체,84,아로셀,[3초완성/화잘먹] 아로셀 슈퍼 콜라겐 버블 세럼 마스크 (90회분),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000246270,32000,25600,20.0,2377,4.9,96,2,1,0,0,1,0,1,1,A000000246270,ALL
2026-07-22,전체,85,넘버즈인,"[대용량140매] 넘버즈인 토너패드 리필 기획(1번, 3번, 5번)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000182630,42000,26400,37.1,26873,4.8,84,11,3,1,0,1,1,0,1,A000000182630,ALL
2026-07-22,전체,86,오브제,[7월올영픽/미피 손거울 증정] 오브제 포어 제로 오일 컨트롤 선스틱 18g 단품/기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000238816,25000,18900,24.4,5041,4.9,90,7,2,0,0,1,0,1,1,A000000238816,ALL
2026-07-22,전체,87,토리든,[NEW/1등수분세럼] 토리든 다이브인 저분자 히알루론산 세럼 50ml 리필 기획(+리필 50ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000258291,36000,36000,0.0,3777,4.9,90,7,2,0,0,0,0,0,1,A000000258291,ALL
2026-07-22,전체,88,저스트썸띵,[증정&할인/NEW디자인] 저스트썸띵 마이타입 노글루 속눈썹 6종 중 택1 (가닥/올영 단독 컬러),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000233226,18000,9900,45.0,3600,4.8,85,10,3,1,2,1,1,1,1,A000000233226,ALL
2026-07-22,전체,89,쏘내추럴,[1위픽서] 쏘내추럴 올 데이 타이트 메이크업 세팅 픽서 120ml 더블기획 (120ml+120ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000162114,42000,31900,24.0,49872,4.8,84,12,4,1,0,1,1,0,1,A000000162114,ALL
2026-07-22,전체,90,메디힐,[87관왕 No.1] 메디힐 더마 토너패드 100매 7종 피부 고민별 골라담기,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000171426,26000,17900,31.2,81035,4.8,86,10,3,1,1,1,0,0,1,A000000171426,ALL
2026-07-22,전체,91,메디힐,"[단독기획] 메디힐 콜라겐 캡슐 패치 60+60매 더블 기획 2종 (레티놀, 비타민C)",https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000233470,45000,26400,41.3,5987,4.7,81,12,5,1,1,1,0,0,1,A000000233470,ALL
2026-07-22,전체,92,라로슈포제,[7월 올영픽] 라로슈포제 시카플라스트 멀티 리페어 크림 100ml (+시카에센스 7.5ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000257827,52000,41600,20.0,17994,4.8,84,11,4,1,1,1,0,1,1,A000000257827,ALL
2026-07-22,전체,93,오브먼트,[화해1위/자연유래거품] 오브먼트 여성청결제 리필 기획 2종 (워시 스페셜/워시 데일리) 중 1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000216626,26000,18200,30.0,853,4.9,90,7,3,,0,1,1,0,1,A000000216626,ALL
2026-07-22,전체,94,클리오,[NO.1 아이라이너] 클리오 샤프 쏘 심플 워터프루프 펜슬라이너 단품/더블기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000198343,11000,7700,30.0,132734,4.8,82,13,4,1,0,1,0,0,1,A000000198343,ALL
2026-07-22,전체,95,오아드,[7월올영픽/단독기획] 오아드 립티크 13종 단품/기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000240910,26000,18140,30.2,8529,4.6,78,9,7,2,3,1,1,0,1,A000000240910,ALL
2026-07-22,전체,96,맥,MAC 파우더 키스 헤이지 매트 립스틱 24 Colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000244466,42000,36120,14.0,802,4.8,86,9,3,0,1,1,1,1,1,A000000244466,ALL
2026-07-22,전체,97,마미케어,[7월 올영픽/디바이스골라담기] 마미케어 브이쎄라 / 펜타프라임 택 1,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248811,109000,99000,9.2,2008,4.6,75,17,6,1,1,1,0,0,1,A000000248811,ALL
2026-07-22,전체,98,좋은느낌,좋은느낌 유기농100%순면 라이너 7종 택 1 (일반/롱/수퍼롱/맥시롱),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000224296,7000,5200,25.7,27128,4.8,87,11,2,0,0,0,1,1,1,A000000224296,ALL
2026-07-22,전체,99,이옴,[트러블흡착/최예나PICK] 이옴 트러블 패치 마스크 3매,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000248829,21000,14700,30.0,5031,4.7,82,9,6,2,1,1,0,0,1,A000000248829,ALL
2026-07-22,전체,100,롬앤,[NEW두유코어/1등틴트] 롬앤 더 쥬시 래스팅 틴트 단품/기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000241210,13000,9900,23.8,259836,4.7,80,14,5,1,1,0,1,0,1,A000000241210,ALL
