width,height,brightness,saturation,colorfulness,white_border_share,edge_density,dominant_hue,file
400,400,227.89971929375,0.04181281267481933,15.029018292597515,0.945703125,1.9446746773182961,155.0,04459714852efe18.jpg
249,400,184.2662648594377,0.17412219509136614,23.19347336888554,0.0001926040061633282,8.735526312371881,11.0,044dde42db0a7d70.jpg
400,400,185.45878539999998,0.11524061105044907,28.136688616023985,0.42496875,4.530158032581454,10.0,04527e82ffec2e0c.jpg
400,400,194.46415588125,0.2399186411842437,75.68980304946483,0.934734375,6.21713078320802,143.0,0455147cc9f18569.jpg
164,400,203.301821875,0.2028108926351267,72.80443350973609,0.6870567375886525,10.71049145241808,143.0,045529086dfeb148.jpg
400,400,151.594808525,0.3120013729944061,45.70359894670678,0.0165625,2.744295206766917,15.0,0461ae238c710461.jpg
400,400,212.1117704875,0.31462876289419195,75.48996324051235,0.0615,7.370691121553885,36.0,047dc5c5a2d61788.jpg
400,400,183.59705921875002,0.3721523984018935,64.04841190959438,0.051515625,5.954333276942355,44.0,048151e3a978fbb1.jpg
400,400,228.1420655375,0.04105968916499462,15.153833541045271,0.9549375,3.812863822055138,207.0,04870ea93f1b1fbe.jpg
400,400,150.80473611875,0.3221453116260142,55.37365448013829,0.001578125,6.102347763157894,16.0,049130f39839dff1.jpg
400,400,165.58825063749998,0.29208282636478833,50.13702709754136,0.04228125,6.905378139097744,21.0,04a209df7f8b1e1b.jpg
400,400,185.46052298125,0.5113824128270864,117.90367634700566,0.06759375,8.356410563909774,35.0,04a485d926007750.jpg
400,400,190.1267202625,0.09351352633075333,24.426707111690863,0.0,3.2000560494987464,15.0,04aca9845c7b0211.png
400,400,109.16574422499998,0.33556661893320777,55.85524623805442,0.01434375,8.910113671679198,160.0,04af0ff2db9f2877.jpg
400,400,209.57262714375,0.08540996062545834,33.044459847409314,0.0,1.1575253446115288,125.0,04b0a44827ce5732.jpg
400,400,173.2707143125,0.4151221803620692,95.41939630493583,0.024421875,5.980838662280701,146.0,04b79a51eeca0ce1.jpg
400,400,183.95396633125,0.2497011619840071,52.18196113356217,0.06459375,6.118019348370927,146.0,04c78b7b67f100da.jpg
400,400,171.01561719375002,0.32330423620600823,83.21992869444442,0.04646875,9.163736691729323,145.0,04ce002ed7991d7c.jpg
400,400,214.97237894375,0.11164250151385945,40.54554786996657,0.258125,9.02611495614035,240.0,04dbbb0875b0e216.jpg
400,400,218.42835673124995,0.17635321266692894,59.46807743448614,0.96825,5.482501322055137,135.0,04e67a13a915765c.jpg
400,400,201.98635298124998,0.17327921778713626,43.39999245638526,0.33059375,5.31716695802005,120.0,04ff275e6a9f79b5.jpg
400,400,245.4330108875,0.011407980889083753,5.812576852752792,0.957046875,0.7159046616541356,147.0,050113d6eb131507.jpg
400,400,216.30929228125,0.09069315316871399,30.107092451978502,0.09525,4.772068126566416,20.0,0502861d3d8255a3.jpg
400,400,119.62169543749998,0.3492688652182134,46.54972755165554,0.0,10.90088560150376,85.0,05053c2cd98607a1.jpg
400,400,129.8485775375,0.2908362695746607,66.74155913564422,0.1809375,9.113883104636592,17.0,0509763e9c485066.jpg
400,400,217.97828364375002,0.11230083651276057,46.84748968486761,0.08025,2.971371879699248,137.0,0509e746a7b92b9a.jpg
400,400,112.64985246250001,0.5922131982464158,80.0585057049492,0.017765625,7.700465695488721,159.0,051cef53e39a8cf1.png
400,400,156.28569883749998,0.27121540978764525,50.68908134914689,0.029359375,5.595613079573935,10.0,052908963a6af493.jpg
400,400,218.85313009375,0.18223211328107677,85.26303392692185,0.7008125,3.8323843045112778,32.0,052e8e358f859202.png
400,400,244.95235264999997,0.03540911862634182,20.221102022851806,1.0,0.9262280263157895,21.0,054a89430385c338.jpg
400,400,185.72567268125002,0.15677313823424835,32.94218756805547,0.026859375,4.704722662907268,20.0,055516658b03f95f.png
400,400,174.76590378749998,0.3102011001113081,65.64108997272406,0.01384375,4.781778646616541,55.0,0560762b121f2099.jpg
400,400,161.8012955125,0.1537780915706531,32.30203623618569,0.19684375,8.459833352130325,154.0,056188a6df916f18.jpg
400,400,221.45789360625,0.04337992247287578,21.015695682448396,0.2359375,4.677796422305764,146.0,056da819f246fa90.jpg
400,400,168.48422411875,0.29532442006262843,67.06067411925561,0.00075,7.049395758145362,146.0,057045fccb88644d.jpg
400,400,190.43460721875,0.335705408051761,93.0341355723405,0.014015625,8.643081090225564,137.0,0576b98e7a640362.jpg
400,400,205.49032778749998,0.14202304158961052,21.382018374180465,0.0,3.0433949561403506,152.0,05802d9ed77c04fd.png
400,400,179.8775334125,0.2976383951941924,67.23596771921645,0.030578125,13.570995958646616,32.0,0581bc4603cc5060.png
400,400,185.8673841625,0.25727860793255486,62.78512607236104,0.003703125,10.169838925438597,187.0,0589a72daf99ee12.jpg
400,400,209.714224475,0.054506542216844284,20.8598744869597,0.002125,2.0231768640350873,155.0,05b4aed7edbf8d04.jpg
400,400,155.765565,0.5177061289775747,111.21625320863694,0.0021875,10.728369887218044,143.0,05b863583a38e261.jpg
400,400,164.75778965,0.40408439504654836,97.48345498938735,0.157234375,7.661894091478697,59.0,05bb8569191586ec.png
400,400,142.88709305,0.44593896308152997,93.60240719622905,0.097046875,12.337346491228068,154.0,05bca6edc47363a0.jpg
400,400,148.761548025,0.6432563390928897,126.63341671231396,0.015828125,7.114305971177945,129.0,05c043a72c72eebf.jpg
400,400,132.01838765,0.39318647436926835,62.737939364824726,0.0,3.291624298245614,3.0,05ded7356c2fb33d.jpg
400,400,195.64517974999998,0.0897475903175859,22.040185509339288,0.020140625,4.752615065789474,15.0,05df752ee6dcb49f.jpg
400,400,183.60909759999998,0.33426945325909885,101.38791707807015,0.027953125,5.598047268170427,151.0,05e0b2b8d43b2741.png
400,400,215.77231263124997,0.015575316012276744,10.458904333852207,0.007734375,9.624651917293232,141.0,05eb6a51a0b7697b.jpg
400,400,199.047020375,0.183832841504171,24.047904190270504,0.0,4.142352550125313,106.0,05f268973052b25f.jpg
400,400,179.81662565625,0.4134417859699787,123.1768082829485,0.058,9.873020325814537,141.0,05f295336c9003c2.png
400,400,207.23978575625,0.05978670050387376,34.150922097220764,0.21134375,3.6008592230576446,60.0,06053046c6d1edeb.png
400,400,144.3450177,0.5600433804286918,111.39532797961934,0.01225,12.445490845864661,145.0,061a009291603b5d.jpg
400,400,200.83094545625,0.10281122820071786,29.526956749289155,0.94396875,5.155243712406014,170.0,062aafc27811233d.jpg
