수집일자,카테고리,순위,브랜드,상품명,상품페이지링크,정가,혜택가,할인율,리뷰수,리뷰별점,별점5비율,별점4비율,별점3비율,별점2비율,별점1비율,세일,쿠폰,증정,오늘드림,상품번호,카테고리ID
2026-07-21,전체,14,좋은느낌,[2026 NEW] 좋은느낌 썸머 생리대 4종 택1 (패드/입는오버나이트) (중형/대형),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000250705,9000,6000,33.3,7657,4.8,88,9,2,0,0,0,1,1,1,A000000250705,ALL
2026-07-21,전체,15,연작,[7월올영픽/리필기획] 연작 스킨 퍼펙팅 베이스 프렙 피팅 쿠션 14g+14g 4 Colors,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000252318,45000,36000,20.0,1503,4.8,86,8,4,1,1,1,1,1,1,A000000252318,ALL
2026-07-21,전체,16,식물나라,[위클리초특가/순한무기자차]식물나라 페이스 앤 바디 저자극 선 크림 150ml,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000221882,19800,9900,50.0,11471,4.7,79,14,5,1,1,1,1,0,1,A000000221882,ALL
2026-07-21,전체,17,화이니카,[약국 입점] 화이니카 치탄플러스 분말치약 20g,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000240327,41900,34800,16.9,247,4.9,90,8,2,,0,1,0,0,1,A000000240327,ALL
2026-07-21,전체,18,쏘내추럴,[7월 올영픽/한정기획] 쏘내추럴 올 데이 블러 메이크업 세팅 픽서 (+블러프렙10ml 증정) 기획/단품,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000226481,25000,20000,20.0,2801,4.8,83,12,4,1,0,1,0,0,1,A000000226481,ALL
2026-07-21,전체,19,헤라,[7월올영픽/마블컬렉션] 헤라 센슈얼 누드 글로스 5g 13 Colors 기획/단품,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000177984,40000,32260,19.4,16457,4.8,86,10,3,0,0,1,1,1,1,A000000177984,ALL
2026-07-21,전체,20,라우쉬,[7.21 하루특가/7월 올영픽/1등비듬샴푸]라우쉬 콜츠푸트 안티-댄드러프 샴푸 200ml 2입기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000236700,49800,38200,23.3,1718,4.9,92,6,1,,0,1,1,1,1,A000000236700,ALL
2026-07-21,전체,21,바이오던스,[7월 올영픽/7+1] 바이오던스 리얼 딥 마스크 7+1매 기획 (콜라겐/세라놀) (+퍼글러 헤어 고정 시트),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000259232,35000,29400,16.0,6659,4.8,85,10,3,1,1,1,1,1,1,A000000259232,ALL
2026-07-21,전체,22,키엘,키엘 울트라 훼이셜 크림 리필 기획 (150ml+50ml),https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000255342,117000,88920,24.0,5,5.0,100,,,,,1,1,1,1,A000000255342,ALL
2026-07-21,전체,23,에스네이처,[1+1/1등 모공 수분천재크림] 에스네이처 아쿠아 스쿠알란 수분크림 60ml 더블기획,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000192782,43000,23500,45.3,16079,4.8,86,10,3,1,1,1,0,0,1,A000000192782,ALL
